route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
57-142,1708FA-D4-Weekday-01,5572418,"EMERYVILLE",1,784272,570023
57-142,1708FA-D4-Weekday-01,5572419,"FOOTHILL SQUARE",0,784272,570026
57-142,1708FA-D4-Weekday-01,5572420,"EMERYVILLE",1,784272,570023
57-142,1708FA-D4-Weekday-01,5572421,"FOOTHILL SQUARE",0,784272,570026
57-142,1708FA-D4-Weekday-01,5572422,"EMERYVILLE",1,784272,570023
57-142,1708FA-D4-Weekday-01,5572423,"FOOTHILL SQUARE",0,784272,570026
57-142,1708FA-D4-Weekday-01,5572424,"EMERYVILLE",1,784272,570023
57-142,1708FA-D4-Weekday-01,5572425,"FOOTHILL SQUARE",0,784272,570026
57-142,1708FA-D4-Weekday-01,5572426,"EMERYVILLE",1,784329,570023
57-142,1708FA-D4-Weekday-01,5572427,"FOOTHILL SQUARE",0,784329,570026
57-142,1708FA-D4-Weekday-01,5572428,"EMERYVILLE",1,784329,570023
57-142,1708FA-D4-Weekday-01,5572429,"FOOTHILL SQUARE",0,784329,570026
57-142,1708FA-D4-Weekday-01,5572430,"EMERYVILLE",1,784329,570023
57-142,1708FA-D4-Weekday-01,5572431,"EMERYVILLE",1,784273,570023
57-142,1708FA-D4-Weekday-01,5572432,"FOOTHILL SQUARE",0,784273,570026
57-142,1708FA-D4-Weekday-01,5572433,"EMERYVILLE",1,784273,570023
57-142,1708FA-D4-Weekday-01,5572434,"FOOTHILL SQUARE",0,784273,570026
57-142,1708FA-D4-Weekday-01,5572435,"EMERYVILLE",1,784273,570023
57-142,1708FA-D4-Weekday-01,5572436,"FOOTHILL SQUARE",0,784273,570026
57-142,1708FA-D4-Weekday-01,5572437,"EMERYVILLE",1,784271,570023
57-142,1708FA-D4-Weekday-01,5572438,"FOOTHILL SQUARE",0,784271,570026
57-142,1708FA-D4-Weekday-01,5572439,"EMERYVILLE",1,784280,570023
57-142,1708FA-D4-Weekday-01,5572440,"FOOTHILL SQUARE",0,784280,570026
57-142,1708FA-D4-Weekday-01,5572441,"EMERYVILLE",1,784269,570023
57-142,1708FA-D4-Weekday-01,5572442,"FOOTHILL SQUARE",0,784269,570026
57-142,1708FA-D4-Weekday-01,5572443,"EMERYVILLE",1,784269,570023
57-142,1708FA-D4-Weekday-01,5572444,"FOOTHILL SQUARE",0,784269,570026
57-142,1708FA-D4-Weekday-01,5572445,"EMERYVILLE",1,784269,570023
57-142,1708FA-D4-Weekday-01,5572446,"FOOTHILL SQUARE",0,784274,570026
57-142,1708FA-D4-Weekday-01,5572447,"EMERYVILLE",1,784274,570023
57-142,1708FA-D4-Weekday-01,5572448,"FOOTHILL SQUARE",0,784274,570026
57-142,1708FA-D4-Weekday-01,5572449,"EMERYVILLE",1,784274,570023
57-142,1708FA-D4-Weekday-01,5572450,"FOOTHILL SQUARE",0,784274,570026
57-142,1708FA-D4-Weekday-01,5572451,"EMERYVILLE",1,784274,570023
57-142,1708FA-D4-Weekday-01,5572452,"FOOTHILL SQUARE",0,784274,570026
57-142,1708FA-D4-Weekday-01,5572453,"EMERYVILLE",1,784274,570023
57-142,1708FA-D4-Weekday-01,5572454,"FOOTHILL SQUARE",0,784274,570026
57-142,1708FA-D4-Weekday-01,5572455,"EMERYVILLE",1,784272,570023
57-142,1708FA-D4-Weekday-01,5572456,"FOOTHILL SQUARE",0,784272,570026
57-142,1708FA-D4-Weekday-01,5572457,"EMERYVILLE",1,784275,570023
57-142,1708FA-D4-Weekday-01,5572458,"FOOTHILL SQUARE",0,784275,570026
57-142,1708FA-D4-Weekday-01,5572459,"EMERYVILLE",1,784275,570023
57-142,1708FA-D4-Weekday-01,5572460,"FOOTHILL SQUARE",0,784275,570026
57-142,1708FA-D4-Weekday-01,5572461,"EMERYVILLE",1,784275,570023
57-142,1708FA-D4-Weekday-01,5572462,"FOOTHILL SQUARE",0,784275,570026
57-142,1708FA-D4-Weekday-01,5572463,"EMERYVILLE",1,784273,570023
57-142,1708FA-D4-Weekday-01,5572464,"FOOTHILL SQUARE",0,784273,570026
57-142,1708FA-D4-Weekday-01,5572465,"EMERYVILLE",1,784271,570023
57-142,1708FA-D4-Weekday-01,5572466,"FOOTHILL SQUARE",0,784271,570026
57-142,1708FA-D4-Weekday-01,5572467,"EMERYVILLE",1,784271,570023
57-142,1708FA-D4-Weekday-01,5572468,"FOOTHILL SQUARE",0,784271,570026
57-142,1708FA-D4-Weekday-01,5572469,"EMERYVILLE",1,784271,570023
57-142,1708FA-D4-Weekday-01,5572470,"FOOTHILL SQUARE",0,784271,570026
57-142,1708FA-D4-Weekday-01,5572471,"FOOTHILL SQUARE",0,784276,570026
57-142,1708FA-D4-Weekday-01,5572472,"EMERYVILLE",1,784276,570023
57-142,1708FA-D4-Weekday-01,5572473,"FOOTHILL SQUARE",0,784276,570026
57-142,1708FA-D4-Weekday-01,5572474,"EMERYVILLE",1,784276,570023
57-142,1708FA-D4-Weekday-01,5572475,"FOOTHILL SQUARE",0,784276,570026
57-142,1708FA-D4-Weekday-01,5572476,"EMERYVILLE",1,784276,570023
57-142,1708FA-D4-Weekday-01,5572477,"FOOTHILL SQUARE",0,784276,570026
57-142,1708FA-D4-Weekday-01,5572478,"EMERYVILLE",1,784276,570023
57-142,1708FA-D4-Weekday-01,5572479,"FOOTHILL SQUARE",0,784276,570026
57-142,1708FA-D4-Weekday-01,5572480,"EMERYVILLE",1,784274,570023
57-142,1708FA-D4-Weekday-01,5572481,"FOOTHILL SQUARE",0,784274,570026
57-142,1708FA-D4-Weekday-01,5572482,"EMERYVILLE",1,784274,570023
57-142,1708FA-D4-Weekday-01,5572483,"FOOTHILL SQUARE",0,784274,570026
57-142,1708FA-D4-Weekday-01,5572484,"EMERYVILLE",1,784274,570023
57-142,1708FA-D4-Weekday-01,5572485,"EMERYVILLE",1,784280,570023
57-142,1708FA-D4-Weekday-01,5572486,"FOOTHILL SQUARE",0,784280,570026
57-142,1708FA-D4-Weekday-01,5572487,"EMERYVILLE",1,784280,570023
57-142,1708FA-D4-Weekday-01,5572488,"FOOTHILL SQUARE",0,784280,570026
57-142,1708FA-D4-Weekday-01,5572489,"EMERYVILLE",1,784269,570023
57-142,1708FA-D4-Weekday-01,5572490,"FOOTHILL SQUARE",0,784269,570026
57-142,1708FA-D4-Weekday-01,5572491,"EMERYVILLE",1,784327,570023
57-142,1708FA-D4-Weekday-01,5572492,"FOOTHILL SQUARE",0,784327,570026
57-142,1708FA-D4-Weekday-01,5572493,"EMERYVILLE",1,784328,570023
57-142,1708FA-D4-Weekday-01,5572494,"FOOTHILL SQUARE",0,784276,570026
57-142,1708FA-D4-Weekday-01,5572495,"EMERYVILLE",1,784276,570023
57-142,1708FA-D4-Weekday-01,5572496,"FOOTHILL SQUARE",0,784276,570026
57-142,1708FA-D4-Weekday-01,5572497,"EMERYVILLE",1,784276,570023
57-142,1708FA-D4-Weekday-01,5572498,"FOOTHILL SQUARE",0,784329,570026
57-142,1708FA-D4-Weekday-01,5572499,"EMERYVILLE",1,784329,570023
57-142,1708FA-D4-Weekday-01,5572500,"FOOTHILL SQUARE",0,784329,570026
57-142,1708FA-D4-Weekday-01,5572501,"EMERYVILLE",1,784329,570023
57-142,1708FA-D4-Weekday-01,5572502,"FOOTHILL SQUARE",0,784329,570026
57-142,1708FA-D4-Weekday-01,5572503,"EMERYVILLE",1,784270,570023
57-142,1708FA-D4-Weekday-01,5572504,"FOOTHILL SQUARE",0,784270,570026
57-142,1708FA-D4-Weekday-01,5572505,"EMERYVILLE",1,784268,570023
57-142,1708FA-D4-Weekday-01,5572506,"FOOTHILL SQUARE",0,784268,570026
57-142,1708FA-D4-Weekday-01,5572507,"EMERYVILLE",1,784268,570023
57-142,1708FA-D4-Weekday-01,5572508,"FOOTHILL SQUARE",0,784268,570026
57-142,1708FA-D4-Weekday-01,5572509,"EMERYVILLE",1,784268,570023
57-142,1708FA-D4-Weekday-01,5572510,"FOOTHILL SQUARE",0,784268,570026
57-142,1708FA-D4-Weekday-01,5572511,"EMERYVILLE",1,784329,570023
57-142,1708FA-D4-Weekday-01,5572512,"FOOTHILL SQUARE",0,784329,570026
57-142,1708FA-D4-Weekday-01,5572513,"EMERYVILLE",1,784270,570023
57-142,1708FA-D4-Weekday-01,5572514,"FOOTHILL SQUARE",0,784270,570026
800-142,1708FA-D4-Weekday-01,5572515,"TRANSBAY",1,784279,8000042
800-142,1708FA-D4-Weekday-01,5572516,"RICHMOND BART",0,784279,8000020
800-142,1708FA-D4-Weekday-01,5572517,"TRANSBAY",1,784279,8000041
800-142,1708FA-D4-Weekday-01,5572518,"RICHMOND BART",0,784279,8000020
800-142,1708FA-D4-Weekday-01,5572519,"TRANSBAY",1,784278,8000041
800-142,1708FA-D4-Weekday-01,5572520,"RICHMOND BART",0,784278,8000020
800-142,1708FA-D4-Weekday-01,5572521,"RICHMOND BART",0,784277,8000021
800-142,1708FA-D4-Weekday-01,5572522,"TRANSBAY",1,784277,8000041
800-142,1708FA-D4-Weekday-01,5572523,"RICHMOND BART",0,784277,8000020
800-142,1708FA-D4-Weekday-01,5572524,"TRANSBAY",1,784277,8000041
800-142,1708FA-D4-Weekday-01,5572525,"TRANSBAY",1,784278,8000041
800-142,1708FA-D4-Weekday-01,5572526,"RICHMOND BART",0,784278,8000020
51A-142,1708FA-D4-Weekday-01,5572537,"FRUITVALE BART",1,784283,51A0012
21-142,1708FA-D4-Weekday-01,5572562,"OAKLAND AIRPORT",1,784290,210038
6-142,1708FA-D4-Weekday-01,5572563,"DOWNTOWN OAKLAND",1,784291,60018
6-142,1708FA-D4-Weekday-01,5572564,"BERKELEY BART",0,784291,60001
6-142,1708FA-D4-Weekday-01,5572565,"DOWNTOWN OAKLAND",1,784296,60018
6-142,1708FA-D4-Weekday-01,5572566,"BERKELEY BART",0,784296,60001
6-142,1708FA-D4-Weekday-01,5572567,"DOWNTOWN OAKLAND",1,784294,60018
6-142,1708FA-D4-Weekday-01,5572568,"BERKELEY BART",0,784294,60001
6-142,1708FA-D4-Weekday-01,5572569,"DOWNTOWN OAKLAND",1,784294,60018
6-142,1708FA-D4-Weekday-01,5572570,"BERKELEY BART",0,784294,60001
6-142,1708FA-D4-Weekday-01,5572571,"DOWNTOWN OAKLAND",1,784294,60018
6-142,1708FA-D4-Weekday-01,5572572,"BERKELEY BART",0,784294,60001
6-142,1708FA-D4-Weekday-01,5572573,"DOWNTOWN OAKLAND",1,784338,60018
6-142,1708FA-D4-Weekday-01,5572574,"BERKELEY BART",0,784338,60001
6-142,1708FA-D4-Weekday-01,5572575,"DOWNTOWN OAKLAND",1,784339,60018
6-142,1708FA-D4-Weekday-01,5572576,"BERKELEY BART",0,784339,60001
6-142,1708FA-D4-Weekday-01,5572577,"DOWNTOWN OAKLAND",1,784293,60018
6-142,1708FA-D4-Weekday-01,5572578,"BERKELEY BART",0,784293,60001
6-142,1708FA-D4-Weekday-01,5572579,"DOWNTOWN OAKLAND",1,784340,60018
6-142,1708FA-D4-Weekday-01,5572580,"BERKELEY BART",0,784340,60001
6-142,1708FA-D4-Weekday-01,5572581,"DOWNTOWN OAKLAND",1,784314,60018
6-142,1708FA-D4-Weekday-01,5572582,"DOWNTOWN OAKLAND",1,784292,60018
6-142,1708FA-D4-Weekday-01,5572583,"BERKELEY BART",0,784292,60001
6-142,1708FA-D4-Weekday-01,5572584,"DOWNTOWN OAKLAND",1,784291,60018
6-142,1708FA-D4-Weekday-01,5572585,"BERKELEY BART",0,784291,60001
6-142,1708FA-D4-Weekday-01,5572586,"DOWNTOWN OAKLAND",1,784296,60018
6-142,1708FA-D4-Weekday-01,5572587,"BERKELEY BART",0,784296,60001
6-142,1708FA-D4-Weekday-01,5572588,"DOWNTOWN OAKLAND",1,784296,60018
6-142,1708FA-D4-Weekday-01,5572589,"BERKELEY BART",0,784296,60001
6-142,1708FA-D4-Weekday-01,5572590,"DOWNTOWN OAKLAND",1,784296,60018
6-142,1708FA-D4-Weekday-01,5572591,"BERKELEY BART",0,784296,60001
6-142,1708FA-D4-Weekday-01,5572592,"DOWNTOWN OAKLAND",1,784294,60018
6-142,1708FA-D4-Weekday-01,5572593,"BERKELEY BART",0,784294,60001
6-142,1708FA-D4-Weekday-01,5572594,"DOWNTOWN OAKLAND",1,784338,60018
6-142,1708FA-D4-Weekday-01,5572595,"BERKELEY BART",0,784338,60001
6-142,1708FA-D4-Weekday-01,5572596,"DOWNTOWN OAKLAND",1,784338,60018
6-142,1708FA-D4-Weekday-01,5572597,"BERKELEY BART",0,784338,60001
6-142,1708FA-D4-Weekday-01,5572598,"DOWNTOWN OAKLAND",1,784339,60018
6-142,1708FA-D4-Weekday-01,5572599,"BERKELEY BART",0,784339,60001
6-142,1708FA-D4-Weekday-01,5572600,"DOWNTOWN OAKLAND",1,784339,60018
6-142,1708FA-D4-Weekday-01,5572601,"BERKELEY BART",0,784339,60001
6-142,1708FA-D4-Weekday-01,5572602,"DOWNTOWN OAKLAND",1,784339,60018
6-142,1708FA-D4-Weekday-01,5572603,"BERKELEY BART",0,784293,60001
6-142,1708FA-D4-Weekday-01,5572604,"DOWNTOWN OAKLAND",1,784340,60018
6-142,1708FA-D4-Weekday-01,5572605,"BERKELEY BART",0,784340,60001
6-142,1708FA-D4-Weekday-01,5572606,"DOWNTOWN OAKLAND",1,784295,60018
6-142,1708FA-D4-Weekday-01,5572607,"BERKELEY BART",0,784295,60001
6-142,1708FA-D4-Weekday-01,5572608,"DOWNTOWN OAKLAND",1,784297,60018
6-142,1708FA-D4-Weekday-01,5572609,"BERKELEY BART",0,784297,60001
6-142,1708FA-D4-Weekday-01,5572610,"DOWNTOWN OAKLAND",1,784297,60018
6-142,1708FA-D4-Weekday-01,5572611,"BERKELEY BART",0,784297,60001
6-142,1708FA-D4-Weekday-01,5572612,"DOWNTOWN OAKLAND",1,784297,60018
6-142,1708FA-D4-Weekday-01,5572613,"BERKELEY BART",0,784297,60001
6-142,1708FA-D4-Weekday-01,5572614,"DOWNTOWN OAKLAND",1,784291,60018
6-142,1708FA-D4-Weekday-01,5572615,"BERKELEY BART",0,784291,60001
6-142,1708FA-D4-Weekday-01,5572616,"DOWNTOWN OAKLAND",1,784291,60018
6-142,1708FA-D4-Weekday-01,5572617,"BERKELEY BART",0,784291,60001
6-142,1708FA-D4-Weekday-01,5572618,"DOWNTOWN OAKLAND",1,784296,60018
6-142,1708FA-D4-Weekday-01,5572619,"BERKELEY BART",0,784296,60001
6-142,1708FA-D4-Weekday-01,5572620,"DOWNTOWN OAKLAND",1,784294,60018
6-142,1708FA-D4-Weekday-01,5572621,"BERKELEY BART",0,784294,60001
6-142,1708FA-D4-Weekday-01,5572622,"BERKELEY BART",0,784294,60001
6-142,1708FA-D4-Weekday-01,5572623,"DOWNTOWN OAKLAND",1,784293,60018
6-142,1708FA-D4-Weekday-01,5572624,"BERKELEY BART",0,784293,60001
6-142,1708FA-D4-Weekday-01,5572625,"DOWNTOWN OAKLAND",1,784293,60018
6-142,1708FA-D4-Weekday-01,5572626,"BERKELEY BART",0,784293,60001
6-142,1708FA-D4-Weekday-01,5572627,"DOWNTOWN OAKLAND",1,784293,60018
6-142,1708FA-D4-Weekday-01,5572628,"BERKELEY BART",0,784293,60001
6-142,1708FA-D4-Weekday-01,5572629,"DOWNTOWN OAKLAND",1,784293,60018
6-142,1708FA-D4-Weekday-01,5572630,"BERKELEY BART",0,784293,60001
6-142,1708FA-D4-Weekday-01,5572631,"DOWNTOWN OAKLAND",1,784293,60018
6-142,1708FA-D4-Weekday-01,5572632,"BERKELEY BART",0,784293,60001
6-142,1708FA-D4-Weekday-01,5572633,"DOWNTOWN OAKLAND",1,784340,60018
6-142,1708FA-D4-Weekday-01,5572634,"BERKELEY BART",0,784340,60001
6-142,1708FA-D4-Weekday-01,5572635,"DOWNTOWN OAKLAND",1,784314,60018
6-142,1708FA-D4-Weekday-01,5572636,"BERKELEY BART",0,784314,60001
6-142,1708FA-D4-Weekday-01,5572637,"DOWNTOWN OAKLAND",1,784295,60018
6-142,1708FA-D4-Weekday-01,5572638,"BERKELEY BART",0,784295,60001
6-142,1708FA-D4-Weekday-01,5572639,"DOWNTOWN OAKLAND",1,784297,60018
6-142,1708FA-D4-Weekday-01,5572640,"BERKELEY BART",0,784297,60001
6-142,1708FA-D4-Weekday-01,5572641,"DOWNTOWN OAKLAND",1,784297,60018
6-142,1708FA-D4-Weekday-01,5572642,"BERKELEY BART",0,784297,60001
6-142,1708FA-D4-Weekday-01,5572643,"DOWNTOWN OAKLAND",1,784297,60018
6-142,1708FA-D4-Weekday-01,5572644,"BERKELEY BART",0,784297,60001
6-142,1708FA-D4-Weekday-01,5572645,"DOWNTOWN OAKLAND",1,784297,60018
6-142,1708FA-D4-Weekday-01,5572646,"BERKELEY BART",0,784297,60001
6-142,1708FA-D4-Weekday-01,5572647,"DOWNTOWN OAKLAND",1,784295,60018
6-142,1708FA-D4-Weekday-01,5572648,"BERKELEY BART",0,784295,60001
6-142,1708FA-D4-Weekday-01,5572649,"DOWNTOWN OAKLAND",1,784297,60018
6-142,1708FA-D4-Weekday-01,5572650,"BERKELEY BART",0,784297,60001
6-142,1708FA-D4-Weekday-01,5572651,"DOWNTOWN OAKLAND",1,784292,60018
6-142,1708FA-D4-Weekday-01,5572652,"BERKELEY BART",0,784292,60001
6-142,1708FA-D4-Weekday-01,5572653,"DOWNTOWN OAKLAND",1,784291,60018
6-142,1708FA-D4-Weekday-01,5572654,"BERKELEY BART",0,784291,60001
6-142,1708FA-D4-Weekday-01,5572655,"DOWNTOWN OAKLAND",1,784291,60018
6-142,1708FA-D4-Weekday-01,5572656,"BERKELEY BART",0,784291,60001
6-142,1708FA-D4-Weekday-01,5572657,"DOWNTOWN OAKLAND",1,784296,60018
6-142,1708FA-D4-Weekday-01,5572658,"BERKELEY BART",0,784296,60001
6-142,1708FA-D4-Weekday-01,5572659,"DOWNTOWN OAKLAND",1,784294,60018
6-142,1708FA-D4-Weekday-01,5572660,"BERKELEY BART",0,784294,60001
6-142,1708FA-D4-Weekday-01,5572661,"DOWNTOWN OAKLAND",1,784341,60018
6-142,1708FA-D4-Weekday-01,5572662,"BERKELEY BART",0,784341,60001
6-142,1708FA-D4-Weekday-01,5572663,"DOWNTOWN OAKLAND",1,784338,60018
6-142,1708FA-D4-Weekday-01,5572664,"BERKELEY BART",0,784338,60001
6-142,1708FA-D4-Weekday-01,5572665,"BERKELEY BART",0,784296,60001
6-142,1708FA-D4-Weekday-01,5572666,"DOWNTOWN OAKLAND",1,784294,60018
6-142,1708FA-D4-Weekday-01,5572667,"BERKELEY BART",0,784294,60001
6-142,1708FA-D4-Weekday-01,5572668,"DOWNTOWN OAKLAND",1,784338,60018
6-142,1708FA-D4-Weekday-01,5572669,"BERKELEY BART",0,784338,60001
6-142,1708FA-D4-Weekday-01,5572670,"DOWNTOWN OAKLAND",1,784338,60018
6-142,1708FA-D4-Weekday-01,5572671,"BERKELEY BART",0,784338,60001
6-142,1708FA-D4-Weekday-01,5572672,"DOWNTOWN OAKLAND",1,784338,60018
6-142,1708FA-D4-Weekday-01,5572673,"BERKELEY BART",0,784338,60001
6-142,1708FA-D4-Weekday-01,5572674,"DOWNTOWN OAKLAND",1,784339,60018
6-142,1708FA-D4-Weekday-01,5572675,"BERKELEY BART",0,784339,60001
6-142,1708FA-D4-Weekday-01,5572676,"DOWNTOWN OAKLAND",1,784293,60018
6-142,1708FA-D4-Weekday-01,5572677,"BERKELEY BART",0,784293,60001
6-142,1708FA-D4-Weekday-01,5572678,"DOWNTOWN OAKLAND",1,784340,60018
6-142,1708FA-D4-Weekday-01,5572679,"BERKELEY BART",0,784340,60001
6-142,1708FA-D4-Weekday-01,5572680,"DOWNTOWN OAKLAND",1,784314,60018
6-142,1708FA-D4-Weekday-01,5572681,"BERKELEY BART",0,784314,60001
6-142,1708FA-D4-Weekday-01,5572682,"DOWNTOWN OAKLAND",1,784295,60018
6-142,1708FA-D4-Weekday-01,5572683,"BERKELEY BART",0,784295,60001
6-142,1708FA-D4-Weekday-01,5572684,"DOWNTOWN OAKLAND",1,784295,60018
6-142,1708FA-D4-Weekday-01,5572685,"BERKELEY BART",0,784295,60001
6-142,1708FA-D4-Weekday-01,5572686,"DOWNTOWN OAKLAND",1,784340,60018
6-142,1708FA-D4-Weekday-01,5572687,"BERKELEY BART",0,784340,60001
6-142,1708FA-D4-Weekday-01,5572688,"DOWNTOWN OAKLAND",1,784340,60018
6-142,1708FA-D4-Weekday-01,5572689,"BERKELEY BART",0,784340,60001
6-142,1708FA-D4-Weekday-01,5572690,"DOWNTOWN OAKLAND",1,784340,60018
6-142,1708FA-D4-Weekday-01,5572691,"BERKELEY BART",0,784340,60001
6-142,1708FA-D4-Weekday-01,5572692,"DOWNTOWN OAKLAND",1,784340,60018
6-142,1708FA-D4-Weekday-01,5572693,"BERKELEY BART",0,784340,60001
6-142,1708FA-D4-Weekday-01,5572694,"DOWNTOWN OAKLAND",1,784295,60018
6-142,1708FA-D4-Weekday-01,5572695,"BERKELEY BART",0,784295,60001
6-142,1708FA-D4-Weekday-01,5572696,"DOWNTOWN OAKLAND",1,784295,60018
6-142,1708FA-D4-Weekday-01,5572697,"BERKELEY BART",0,784295,60001
6-142,1708FA-D4-Weekday-01,5572698,"DOWNTOWN OAKLAND",1,784297,60018
6-142,1708FA-D4-Weekday-01,5572699,"BERKELEY BART",0,784297,60001
